time,zzy_count,zzy_count1,qhu_count,sum,13776,Percent
0,240,287,118,645,7859680,8.20644E-05
1,219,235,102,556,7859680,7.07408E-05
2,511,486,231,1228,7859680,0.00015624
3,468,464,224,1156,7859680,0.00014708
4,335,354,150,839,7859680,0.000106747
5,367,412,173,952,7859680,0.000121125
6,109,139,61,309,7859680,3.93146E-05
7,147,138,60,345,7859680,4.38949E-05
8,34,43,16,93,7859680,1.18325E-05
9,16,15,6,37,7859680,4.70757E-06
10,5,6,3,14,7859680,1.78124E-06
11,14,14,4,32,7859680,4.07141E-06
12,7,11,5,23,7859680,2.92633E-06
13,58,61,22,141,7859680,1.79397E-05
14,54,57,21,132,7859680,1.67946E-05
15,219,189,100,508,7859680,6.46337E-05
16,297,325,162,784,7859680,9.97496E-05
17,404,378,185,967,7859680,0.000123033
18,369,403,219,991,7859680,0.000126087
19,234,225,125,584,7859680,7.43033E-05
20,340,362,227,929,7859680,0.000118198
21,307,331,198,836,7859680,0.000106366
22,348,365,198,911,7859680,0.000115908
23,297,302,165,764,7859680,9.7205E-05
