,afternoon1,afternoon2,api,api_AntiPorn,api_WebFilter,api_safebrowser,api_server,api_webnanny,browser_android,browser_chrome,browser_firefox,browser_nobrowser,cat_abortion,cat_abused-drugs,cat_adult-and-pornography,cat_alcohol-and-tobacco,cat_auctions,cat_business-and-economy,cat_computer-information,cat_computer-information null,cat_content-delivery-network,cat_cult-and-occult,cat_dating,cat_dead-sites,cat_dynamically-content,cat_educational-institution,cat_entertainment-and-art,cat_envasion-proxy,cat_fashion-and-beauty,cat_financial-service,cat_gambling,cat_game,cat_government,cat_hacking,cat_healthy-and-medicine,cat_home-garden,cat_hunting-and-fishing,cat_image-and-video-search,cat_internet-communication,cat_internet-portal,cat_internet-security,cat_job-search,cat_kid,cat_legal,cat_local-info,cat_malware,cat_marijuana,cat_media-streaming,cat_military,cat_motor-vehicle,cat_music,cat_news-and-media,cat_nudity,cat_online-advertisement,cat_online-greeting,cat_online-storage,cat_parked-domain,cat_pay2surf,cat_peer2peer,cat_personal-site-and-blog,cat_philosophy-and-political,cat_phishing-and-fraud,cat_questionable,cat_real-estate,cat_recreation-and-hobbies,cat_religion,cat_research-reference,cat_search-engine,cat_sex-education,cat_shopping,cat_social-networking,cat_society,cat_software-download,cat_spam-url,cat_sport,cat_spyware-and-adware,cat_stock-and-tool,cat_swimsuits-,cat_training-and-tool,cat_translation,cat_travel,cat_weapon,cat_web-hosting,cat_web-mail,evening,morning1,morning2,morning3,night1
afternoon1,1.0,0.88314338792,0.985106392802,-0.00393139114918,0.0142012708545,0.00217752237624,-0.00803017023852,-0.000161157756624,0.0021649642055,0.00494075754781,0.00931215640736,-0.00803017023852,-0.000176316349619,0.00232888891156,0.00143403025488,0.000650712125006,0.00644438300482,0.0393821994863,0.0102916636706,0.00515658378331,0.00804364503417,0.000414014830734,0.00354822515136,0.00301661255602,0.00368318588666,0.0263820546257,0.0041245546657,-0.000296761883945,-1.06871281981e-05,0.00510257572797,0.00098468728744,0.00536883111491,0.00698411155678,2.05779985653e-05,0.000567652864532,0.000987826470676,0.00130425249566,0.00179420443763,0.00749595885166,0.00529985647645,0.00820058392859,0.0221009727793,0.00350255129388,0.000703624404497,0.00137106988617,0.0109358625275,0.00270600145058,0.929442576331,-0.000176156237114,0.00233136549109,0.00160683992787,0.00360630620105,0.000792226704683,0.0231425780191,0.000892665784235,0.00164651976576,0.00705253864714,0.00603134796641,0.00228971032267,0.00552654295944,0.000990619277463,-0.000194710046888,0.001132079522,0.00228455457891,0.00116856183004,0.00456552370581,0.0149512029227,0.0275370487792,0.000269381135256,0.00859521281147,0.00959682126344,0.00658506325184,0.00220598817775,0.000912932851587,0.00513061846969,0.00666283706591,0.000317418789396,0.00032382679744,0.0148802873696,0.0132896946476,0.00495166110387,0.000122371499623,0.0123675953912,0.00365122368096,0.686399537485,0.977218884746,0.992966459423,0.994409197188,0.0403545150873
afternoon2,0.88314338792,1.0,0.939867488765,-0.00160058150103,0.0221277866362,-0.009335987669,-0.010380288624,-0.000465873016154,-0.00935030009085,0.0125769946057,0.0143065710606,-0.010380288624,-0.000225362733017,-0.000339913694289,0.00180410111623,0.000218644162708,0.00601277462412,0.0498148168641,0.0142274304096,0.00540193387881,0.0101344426039,0.00293921681019,0.00549010959299,0.00380220788916,0.00233407305612,0.0366874399776,0.00666039172943,0.0006509229529,0.00106818158561,0.0107357166664,0.0028926400997,0.0139955061337,0.00963999313821,-0.000155288399159,0.000913922291488,0.00201831755254,0.00167952884408,0.00306771823811,0.0104639864836,0.0407037692101,0.011502592519,0.0237733899148,0.00399695459839,0.00124627856973,0.00297276189738,0.0153595273291,-2.18029111121e-05,0.969444852034,0.00111716003072,0.00798714774311,0.00147033331028,0.00974212573715,0.00580626006632,0.0172573981256,0.000346137890056,0.00727606266284,0.0146426237883,0.0176483720974,0.0023622521158,0.013896522374,0.00272550407028,-0.000248873053504,0.00194042008588,0.00891165784869,0.0021511377365,0.00548511534151,0.0283159532621,0.0397635260551,0.000231626935361,0.0190031568127,0.0168975876793,0.0366529580871,0.0240101529565,0.0010322590766,0.00928100312731,0.00817256940166,0.0112878467407,0.000712672298367,0.0308436041423,0.0237913156046,0.00364531179055,0.00166170886475,0.0259713771825,0.00296490508659,0.867350399183,0.900295202954,0.887710460736,0.861006777646,0.0624043712126
api,0.985106392802,0.939867488765,1.0,-0.00130731109932,0.0162528186569,-0.0018213153376,-0.0096610247379,-0.000388593298253,-0.00184164705119,0.00837086717072,0.0118492554219,-0.0096610247379,-0.000102510009235,0.000309100428159,0.00469260197207,0.000409805158771,0.00575731015556,0.0377535092118,0.0235242724211,0.00692906613435,0.00803818327789,0.00231661100756,0.00309613547134,0.00352363736942,0.00198373796129,0.0284532183551,0.00994019109074,-6.0727552319e-05,0.000631669187572,0.00682916703019,0.00138317651401,0.0162360830038,0.00557022653982,0.000394135975534,0.00543358789124,0.00117742240401,0.00115373310116,0.00239809416268,0.00714010908574,0.0156775461128,0.0222127333033,0.0233007474505,0.00284588885069,0.000821625866805,0.00153513731552,0.0115027438972,0.00126222801475,0.964993733148,0.000626333169149,0.00408801401423,0.00308402795503,0.0169129878156,0.00371230426937,0.0278156725258,0.000398641671202,0.0067086934962,0.0149401057365,0.0111972598102,0.00200982363716,0.0113038788836,0.004924990673,-5.84136510569e-05,0.00195262849971,0.00494324196682,0.00122305143193,0.0058442578841,0.0422398005746,0.0461843522332,0.000239411792349,0.0130995841786,0.0177888559139,0.0152403981927,0.00572243418469,0.000983093384036,0.0103642502871,0.00932366492016,0.00341475069108,0.000521872729065,0.0326944921417,0.0344303440442,0.00332849046069,0.00179212841903,0.0350218059309,0.00339783866218,0.787905955193,0.977366597865,0.985525635978,0.978060512429,0.0823753632962
api_AntiPorn,-0.00393139114918,-0.00160058150103,-0.00130731109932,1.0,-0.408204294208,-0.291608721536,-0.367258003828,-0.0143175176937,-0.292041983525,0.468789821617,0.175809240433,-0.367258003828,0.00902851392027,0.00511082775759,0.0240136437634,0.0121357097151,0.0452152648376,0.04218910091,0.0266244429591,0.00902851392027,0.026881972233,0.00950301806119,0.0109416922243,0.0191303211558,-0.0024428374835,0.0439747584029,0.0318509472889,0.0243664368536,0.0023856040392,0.0685843545464,0.022205410537,0.0411687964546,0.0260345028052,0.0158674844752,0.0134969513633,-0.00988194419221,0.0151269799836,0.012770318826,0.0579718681208,0.0377295507753,0.0361074923512,0.0405980141658,0.0108239976208,-0.00509228082933,0.00586010209904,0.0251250140259,0.0112640876331,-0.00643898529745,0.0266341641542,0.0315905237635,0.0213650966019,0.0368708426597,0.00825611110074,0.0529318792156,0.00601767841869,0.0326025033331,0.0415132169783,-0.00621965452363,-0.00610875413752,0.040317670017,0.0154683270045,0.00824908126076,0.0100617214135,-0.00515626434813,0.00321538510138,0.0273055891066,0.0233018591705,0.0681785035062,0.00256514376217,0.0465164562789,0.0680889095531,0.015979561296,0.02088928554,0.00872141620976,0.00462643075125,0.0127702136049,0.0137760929332,0.00254282864104,0.0240473476296,0.00765860738963,0.0183058134032,0.000682759484273,0.0210652362393,0.0312518332519,0.00679314345322,0.00708856884353,-0.00338679331692,-0.00716503478562,0.0231337455022
api_WebFilter,0.0142012708545,0.0221277866362,0.0162528186569,-0.408204294208,1.0,-0.227651340284,-0.290753162502,-0.0111545938559,-0.227988238111,0.434473413166,-0.0193886956138,-0.290753162502,-0.00510962905788,-0.00818108665517,-4.21520768183e-05,-0.0119453797543,0.0190284175581,0.0266689067527,0.0239746290898,0.0116072808433,0.0219216899877,-0.00585463823883,-0.00283098655634,-0.000774509226396,0.0108129264753,0.0516210813048,0.0157086324588,0.00283711012616,0.0168716596978,0.0343421589218,-0.0113327330424,0.0174554728947,0.0186770679836,-0.00582537453818,0.00319361370195,0.0228385181663,-0.0071963990165,0.0127456021858,0.0327178687957,-0.00348326613412,0.00365331271628,0.0111611927242,0.0322630717616,0.0342951582843,0.0199105086362,0.00153547453436,-0.00733632245776,0.0132919112172,0.000956870905001,0.0126784819369,0.0145096678315,0.00719717093369,0.0107097942447,0.0392751141697,0.0161820862493,0.0148692507865,0.0100728224281,0.011732580409,0.0149583692978,0.0272935070708,0.015359026736,0.0109720917564,-0.00775041661532,0.0226564316201,0.00554327575193,0.034434423014,0.0291125032892,0.0513809276162,0.00623955241703,0.0306440220847,0.0159565543817,0.00928164180172,0.0119166375369,0.00910868633081,0.0360256256378,0.00784027601976,-0.00362756508257,0.00293909850281,0.0551132839341,0.0156101767226,0.0204304338831,-0.00881674201198,0.0176234256951,0.0142554555997,0.0198731769387,0.0174894106841,0.00992773570863,0.0100000735727,0.0310202749277
api_safebrowser,0.00217752237624,-0.009335987669,-0.0018213153376,-0.291608721536,-0.227651340284,1.0,-0.124950496065,-0.00560260195567,0.998263040196,-0.460464066765,-0.0826171160471,-0.124950496065,-0.00256640610338,-0.00398725771797,-0.021752980753,-0.00983889050556,-0.0301948822072,-0.0325116934852,-0.0218129004811,-0.00256640610338,-0.0205392350451,-0.0110300684884,-0.00889229341107,-0.0104403360323,-0.00442326480685,-0.0347643983848,-0.025449125691,-0.0111103960643,-0.00781020071695,-0.0542400390636,-0.00880168250749,-0.0218307578034,-0.0203487113334,-0.00628073785999,-0.00900856398225,-0.0143954226119,-0.00620354770586,-0.0102853968853,-0.0419434646934,-0.0199613689737,-0.0169431499087,-0.0262875027562,-0.0184402596832,-0.0103790600921,-0.0188364054552,-0.0149967834353,-0.00411957164662,-0.00349785712622,-0.00749805000593,-0.0197167000683,-0.016028006781,-0.0207631710186,-0.0107181788237,-0.0380378211157,-0.00905560873971,-0.0252358562402,-0.0188244743026,-0.00284919093153,-0.00467421442861,-0.0225518851719,-0.0137678697303,0.000326767992334,-0.00781515379742,-0.0148794858848,-0.00993700005426,-0.0267027825148,-0.0213221935619,-0.0469407913187,-0.00713026308801,-0.0448039310923,-0.0465630078049,-0.0126005387742,-0.00605260161636,-0.00509798573064,-0.0164312104694,-0.0100201052074,-0.00489277692261,-0.004355478377,-0.0330895957618,-0.00961683311527,-0.0214332609631,-0.00873799387339,-0.0183403676128,-0.0197439071055,-0.0129519302639,-0.00697776109088,0.00308292043531,0.00652993782857,-0.02484582295
api_server,-0.00803017023852,-0.010380288624,-0.0096610247379,-0.367258003828,-0.290753162502,-0.124950496065,1.0,-0.00709436125775,-0.12519267196,-0.581980365206,-0.104761294342,1.0,-0.0032497422047,0.00830330476592,-0.00410342257704,0.0117853665687,-0.0235846660855,-0.0391482227163,-0.0263216253848,0.0197269965088,-0.0258974013636,0.0123424802959,0.00258668450752,-0.0111674932209,-0.00562310600794,-0.0462099487422,-0.0229238497894,-0.00795502035886,-0.00748259103455,-0.0474848857022,-0.00459698790042,-0.0270054967276,-0.0203775435127,-0.00680549310784,-0.00702442228963,0.00732556235063,-0.00235314875513,-0.00736948016344,-0.0408684241263,-0.0191052431755,-0.0233466594665,-0.0159854705271,-0.0201424055937,-0.0122226051083,0.0011805546368,-0.018203973786,-0.00164722575532,-0.00440008567854,-0.0104911323522,-0.013510784678,-0.0136386823748,-0.0221528177338,-0.010099495064,-0.0488028420586,-0.00718281471639,-0.0222058648052,-0.0299913284741,-0.00356294416185,-0.00591877952691,-0.0266498415322,-0.0132808042304,-0.0035887622357,0.00897826341794,0.00310927852922,0.00438631723655,-0.0217944560658,-0.0239805053993,-0.0245787931403,-0.00264513776115,-0.0135217896293,-0.000369816325106,-0.0120262605568,-0.00784249975544,-0.014865789678,-0.0197566031739,-0.0109118479841,-0.00651062732205,-0.000185560857239,-0.0434655491517,-0.0156145794799,-0.00888095845779,0.0274345471095,-0.0213858369631,-0.0253000259157,-0.0140044161521,-0.0130942708176,-0.00628309044045,-0.00492714927002,-0.0234213173417
api_webnanny,-0.000161157756624,-0.000465873016154,-0.000388593298253,-0.0143175176937,-0.0111545938559,-0.00560260195567,-0.00709436125775,1.0,0.053320571392,-0.0225141421664,-0.0040967883291,-0.00709436125775,-0.000123734826864,-0.000206452019871,0.00207754689959,-0.000474365070921,-0.0017231238389,-0.0014801477207,-0.00025513896513,-0.000123734826864,-0.00100716720725,-0.000571376696493,-0.000512192962688,-0.000513027903523,-0.000218696417146,-0.00184907793393,-0.00144455905677,-0.000567814815178,-0.000451755551984,-0.00257242755179,-0.000460856924863,-0.00109802161783,-0.00106834029153,-0.00030281490161,-0.000491990720059,-0.000890954504769,-0.000391779879285,-0.000534828128862,-0.00140287125677,-0.00101924276336,-0.000948182651106,-0.001429976855,-0.000937411667967,-0.000615978306216,-0.00113436325244,-0.000752744432119,-0.00019861801442,-0.000169524558569,-0.000410821199514,-0.00135129872645,-0.0009034703348,0.00214795057854,0.00282634412087,-0.0017431826631,-0.000542810053668,-0.00136598219887,-0.00137613148856,-0.000137368807747,-0.000225359155859,-0.00134766544282,-0.000824106195322,-0.000136643107644,-0.000416124858982,-0.000794278931735,-0.000509139811202,-0.00156914019913,-0.00115597590464,-0.00177690374425,-0.000343773289633,-0.00158602417658,-0.0023690119847,-0.00071111327599,-0.000514149915236,-0.000714626075577,-0.000990195600603,-0.000558095004191,-0.000287700963765,-0.000392293373459,-0.00171488280437,-0.000594529401658,-0.000688762054198,-0.000482237274709,-0.000943372879504,-0.00102550466261,-0.000663712034246,-0.000527688792549,-0.000167360835443,-0.000232761287872,-0.00135786250169
browser_android,0.0021649642055,-0.00935030009085,-0.00184164705119,-0.292041983525,-0.227988238111,0.998263040196,-0.12519267196,0.053320571392,1.0,-0.461142675915,-0.0827422470835,-0.12519267196,-0.00257008534906,-0.00399381130219,-0.0215999776199,-0.0098529957149,-0.0302539199475,-0.0325531567392,-0.0217972439149,-0.00257008534906,-0.0205696763373,-0.0110482133204,-0.00890995901103,-0.0104558729115,-0.00442992636326,-0.0348244279823,-0.0254984284201,-0.0111282180357,-0.00782582800477,-0.0543152851079,-0.00881645110857,-0.021864734791,-0.0203830246998,-0.00628974203809,-0.00902487578236,-0.0144276608111,-0.00621790187887,-0.010302436112,-0.0419671058035,-0.0199933346895,-0.016975175372,-0.026334766874,-0.0184695443158,-0.0104007485322,-0.0188767362178,-0.0150200329048,-0.00412547753819,-0.00350292364664,-0.00751170479333,-0.0197685731779,-0.0160586855025,-0.0206074125766,-0.0105365847361,-0.0380870065466,-0.00907484838928,-0.0252808296356,-0.0188790656969,-0.00285327558259,-0.00468091546599,-0.0225995554578,-0.0137970524341,0.000318257900222,-0.0078286749242,-0.0149053473951,-0.0099530159991,-0.0267576612324,-0.0213603004325,-0.0469794380184,-0.00714048516066,-0.0448343383745,-0.0466370702304,-0.0126247067628,-0.00607437761883,-0.0051329158753,-0.0164664313756,-0.0100388884427,-0.00490284335435,-0.00437246281607,-0.033144075462,-0.00963833024945,-0.021443685535,-0.00875411170633,-0.0183701439882,-0.0197765476859,-0.0129728112286,-0.00699903315108,0.00306872302115,0.00650703778486,-0.0248908667015
browser_chrome,0.00494075754781,0.0125769946057,0.00837086717072,0.468789821617,0.434473413166,-0.460464066765,-0.581980365206,-0.0225141421664,-0.461142675915,1.0,-0.288026289223,-0.581980365206,0.00592286782597,-0.0158697465104,0.0275496114948,0.00443305948265,0.0435020069703,-0.0102288144562,0.0170936094368,0.00592286782597,0.0318152202524,-0.0126978176926,-0.0102488162467,0.0063633914584,0.00921056419904,0.0439911753095,0.0213399843215,0.018102902056,0.0163159312016,0.0464698534596,0.0154419764875,0.00549256147211,0.026785871678,0.0136840679938,0.0111500940406,0.0157643304505,0.00722567267645,0.000749920373707,0.0789371151774,-0.0170566530208,-0.01090425093,0.0325771340187,0.0117742814584,0.0148308060232,0.0260805598035,-0.024594183467,-0.0140324431393,0.00798462457203,0.0157617518516,0.0224381491037,0.0222069860436,0.0150062507311,0.00876291545711,0.0218053569463,0.019735073661,0.022161852835,-0.000174522524596,0.00651841010498,0.0105622048895,0.00861473769195,-0.000411611203063,0.00474777547498,0.00164093425142,0.016797127073,0.00210208731756,0.0320382883639,0.0220363601703,0.0289604990533,0.0110425091549,0.0334299836099,0.0192537905836,0.00861619909256,0.00433698768585,0.0193143503203,0.0190568818806,0.0205384560261,0.0112289134999,0.00876900114745,0.0306507777599,0.026662266899,0.0310078391906,-0.010815111358,0.0174101455858,0.0310105168423,0.0161429273285,0.0103909415778,0.00411793382893,0.00253297676192,0.0233844365884
