cat,zzy_count,zzy_count,hu_count,sum
abortion,18,22,9,49
abused-drugs,108,117,62,287
adult-and-pornography,49376,49715,22597,121688
alcohol-and-tobacco,278,259,120,657
auctions,58012,59468,26831,144311
business-and-economy,553995,558996,252118,1365109
computer-information,165874,167983,75705,409562
content-delivery-network,64983,65995,29562,160540
cult-and-occult,1216,1272,554,3042
dating,11873,11771,5270,28914
dead-sites,4760,4950,2098,11808
dynamically-content,1038,1065,440,2543
educational-institution,96482,97348,43479,237309
entertainment-and-art,70746,71234,32002,173982
envasion-proxy,2730,2721,1263,6714
fashion-and-beauty,520,533,236,1289
financial-service,62935,63006,28230,154171
gambling,11799,11967,5139,28905
game,144646,146686,66407,357739
government,56849,57818,25574,140241
hacking,1626,1743,705,4074
healthy-and-medicine,14187,14112,6368,34667
home-garden,1909,1967,891,4767
http-proxy,0,0,0,0
hunting-and-fishing,123,125,51,299
image-and-video-search,3936,4013,1767,9716
internet-communication,63870,64426,29546,157842
internet-portal,172354,174341,78555,425250
internet-security,5119,5100,2287,12506
job-search,22898,23207,10418,56523
keylogger-and-monitoring,1,5,2,8
kid,4440,4473,2179,11092
legal,645,689,360,1694
local-info,2557,2670,1224,6451
malware,5380,5478,2586,13444
marijuana,132,121,57,310
media-streaming,1072019,1081582,490520,2644121
military,463,463,194,1120
motor-vehicle,10863,10738,4912,26513
music,14328,14700,6745,35773
news-and-media,127076,128229,57737,313042
nudity,7790,7883,3560,19233
online-advertisement,51920,52221,23711,127852
online-greeting,232,225,93,550
online-storage,16395,16463,7291,40149
parked-domain,55248,56566,25352,137166
pay2surf,2738,2652,1220,6610
peer2peer,757,798,327,1882
personal-site-and-blog,71158,72075,32397,175630
philosophy-and-political,12108,12040,5643,29791
phishing-and-fraud,163,142,58,363
private-ip,6,4,1,11
questionable,2063,2098,972,5133
real-estate,8943,8921,4078,21942
recreation-and-hobbies,1740,1710,818,4268
religion,21081,21533,9624,52238
research-reference,55476,55807,25270,136553
search-engine,880260,886957,402041,2169258
sex-education,319,272,144,735
shopping,107006,108215,48297,263518
social-networking,903003,910651,411025,2224679
society,54921,55550,24815,135286
software-download,24499,24519,11217,60235
spam-comfirmed,4,1,0,5
spam-url,318,296,150,764
sport,28311,28713,12864,69888
spyware-and-adware,759,695,321,1775
stock-and-tool,4701,4766,2175,11642
swimsuits-,518,565,237,1320
training-and-tool,27504,27754,12744,68002
translation,1451,1409,609,3469
travel,31765,32373,14720,78858
unknown,1335012,1345430,610760,3291202
weapon,1489,1480,666,3635
web-hosting,17128,17414,7631,42173
web-mail,11489,11819,5348,28656
